source_file,file,extension,date_time_original,file_size,trip,site,treatment,camera_no,species_1,no_of_species_1,species_2,no_of_species_2,comments,moon_phase_number,site_code,process_image,species,count
/Library/Frameworks/R.framework/Versions/3.6/Resources/library/exifpro2camtrapr/testdata/testimages/DCIM/100RECNX/NBR172014-04_0013.jpg,NBR172014-04_0013,jpg,2013:10:09 17:55:13,533135,Apr.14,Norries Bore,Fox and goanna removal,R17,cat,1,NA,NA,NA,2,CamNB2,TRUE,cat,1
/Library/Frameworks/R.framework/Versions/3.6/Resources/library/exifpro2camtrapr/testdata/testimages/DCIM/100RECNX/NBR172014-04_0025.jpg,NBR172014-04_0025,jpg,2013:11:07 13:06:23,257605,Apr.14,Norries Bore,Fox and goanna removal,R17,NA,NA,NA,NA,NA,NA,CamNB2,TRUE,NA,NA
/Library/Frameworks/R.framework/Versions/3.6/Resources/library/exifpro2camtrapr/testdata/testimages/DCIM/100RECNX/NBR172014-04_0024.jpg,NBR172014-04_0024,jpg,2013:11:06 22:13:20,355611,Apr.14,Norries Bore,Fox and goanna removal,R17,fox,1,NA,NA,NA,2,CamNB2,TRUE,fox,1
